track_id,track_name,track_artist,listen_count,duration,genre
6f807x0ima9a1j3VPbc7VN,I Don't Care (with Justin Bieber) - Loud Luxury Remix,Ed Sheeran,15476,03:14,pop dance pop
0r7CVbZTWZgbTCYdfa2P31,Memories - Dillon Francis Remix,Maroon 5,15710,02:42,pop dance pop
1z1Hg7Vb0AhHDiEmnDE79l,All the Time - Don Diablo Remix,Zara Larsson,16414,02:56,pop dance pop
75FpbthrwQmzHlBJLuGdC7,Call You Mine - Keanu Silva Remix,The Chainsmokers,14069,02:49,pop dance pop
1e8PAfcKUYoKkxPhrHqw4x,Someone You Loved - Future Humans Remix,Lewis Capaldi,16179,03:09,pop dance pop
7fvUMiyapMsRRxr07cU8Ef,Beautiful People (feat. Khalid) - Jack Wins Remix,Ed Sheeran,15710,02:43,pop dance pop
2OAylPUDDfwRGfe0lYqlCQ,Never Really Over - R3HAB Remix,Katy Perry,14538,03:07,pop dance pop
6b1RNvAcJjQH73eZO4BLAB,Post Malone (feat. RANI) - GATTÜSO Remix,Sam Feldt,16179,03:27,pop dance pop
7bF6tCO3gFb8INrEDcjNT5,Tough Love - Tiësto Remix / Radio Edit,Avicii,15945,03:13,pop dance pop
1IXGILkPm0tOCNeq00kCPa,If I Can't Have You - Gryffin Remix,Shawn Mendes,15710,04:13,pop dance pop
3eFJI470ALf1EYjywPRsJy,Cross Me (feat. Chance the Rapper & PnB Rock) - M-22 Remix,Ed Sheeran,13600,03:27,pop dance pop
3iJeF2izF1QcpCgUc97BLl,Hate Me - R3HAB Remix,Ellie Goulding,15710,03:23,pop dance pop
6e0CvGZf7CouOpYF8toXHC,Body On My,Loud Luxury,15710,03:12,pop dance pop
3eLdNmnRWr9gIyBcqTSSti,SOS - Laidback Luke Tribute Remix / Radio Edit,Avicii,15945,02:44,pop dance pop
55nMnifaQWKe3f9cbwOXwx,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy) - Tiësto Remix,Martin Garrix,14772,04:15,pop dance pop
1EJgymgJHcjSOGSHcYaxvW,South of the Border (feat. Camila Cabello & Cardi B) - Andy Jarvis Remix,Ed Sheeran,15476,03:08,pop dance pop
5WaXMQMlQpq8pwIdaFP43L,All My Friends - Eden Prince Remix,AJ Mitchell,14069,02:53,pop dance pop
3TjLsDgL0bTbSQIF6M5Ki8,Say My Name (feat. Bebe Rexha & J Balvin) - Lucas & Steve Remix,David Guetta,15241,03:09,pop dance pop
0GfS3y8Jd7SHWd9R51s7Fo,Dancing With A Stranger (With Normani) - Cheat Codes Remix,Sam Smith,16179,02:39,pop dance pop
2v3DuCVBbopteJqdM7aKQK,Let It Be Me - Sondr Remix,Steve Aoki,8207,03:05,pop dance pop
4QAUGy6k7c3IOAhgWz52r7,Heaven - David Guetta & MORTEN Remix,Avicii,16414,03:35,pop dance pop
3Ciaf6WgvG95TGRGxQ1yO8,All Around The World (La La La) - Marnik Remix,R3HAB,15007,02:50,pop dance pop
1mC2UjWt25Oixtqu7C6suL,Don't Leave Me Alone (feat. Anne-Marie) - EDX's Indian Summer Remix,David Guetta,14538,03:30,pop dance pop
2wenGTypSYHXl1sN1pNC7X,Slow Dance (feat. Ava Max) - Sam Feldt Remix,AJ Mitchell,16414,03:13,pop dance pop
4sqABRRGU7CzcHXCyxUzFw,Do You Mean (feat. Ty Dolla $ign & bülow) - Myon Remix,The Chainsmokers,13600,03:25,pop dance pop
5dy3WUywjZcalTno1io8TQ,Hold Me While You Wait - Steve Void Remix,Lewis Capaldi,14772,02:52,pop dance pop
2M9GeaCQXrV12J0wzBxIwi,One Thing Right - Firebeatz Remix,Marshmello,15476,03:12,pop dance pop
1zzOMDmkRZy0g9f4JTAZKn,Close To Me (with Diplo) (feat. Swae Lee) - CID Remix,Ellie Goulding,1875,02:55,pop dance pop
4OFFY6L5ywYM1TwhXX69wQ,So Am I - Toby Green Remix,Ava Max,14538,02:46,pop dance pop
1hr5Y2i4NlE3LPvQZ9Q5Ao,When You Leave - Breathe Carolina Remix,Nikki Vianna,7034,02:35,pop dance pop
1aT7vltGhkjyMI3F3aO3A4,Mother - Fedde Le Grand Remix,Charlie Puth,13131,02:58,pop dance pop
4YaU1EjXIkdRdkOI4cCZys,Signs - Eden Prince Remix,Starley,13131,02:52,pop dance pop
0Fc9QSMX6fgEBgDjUax7t7,Ruin My Life - Steve James Remix,Zara Larsson,13600,02:57,pop dance pop
7AasLZ4TYgh7dbJXZxcZVE,Torn - KREAM Remix,Ava Max,14069,02:49,pop dance pop
7p4jpmyBnOpqQ3rSGJzZ7w,Quite Miss Home - Steve Void Remix,James Arthur,14069,03:40,pop dance pop
4sLtguRBis05qfsBgJ1IdN,Love Me Less (feat. Quinn XCII) - Party Pupils Remix,MAX,12896,03:05,pop dance pop
508lUjbGcPrL0CfvHC7UvI,Happier - Matt Medved Remix,Marshmello,13834,02:50,pop dance pop
7FDaS1k08rwMoAThmzUkOZ,Side Effects - Fedde Le Grand Remix,The Chainsmokers,14772,02:52,pop dance pop
6m8SIT10j41SPpPFOknTmP,Good Things Fall Apart (with Jon Bellion) [Tiësto's Big Room Remix],ILLENIUM,15710,04:07,pop dance pop
5Vwgf4MVO0vLv8fbxaGGiW,Paradise - Bazzi vs. Black Caviar Remix,Bazzi vs.,12896,03:38,pop dance pop
5scxjvcdozadBoRRN0UMaM,White Mercedes - EDX's Miami Sunset Remix,Charli XCX,13131,03:20,pop dance pop
6oJ6le65B3SEqPwMRNXWjY,Higher Love,Kygo,20400,03:48,pop dance pop
2tilX6FUl0IwFgiOYjuc6V,Unlove You,Armin van Buuren,14538,02:30,pop dance pop
3yNZ5r3LKfdmjoS3gkhUCT,bad guy (with Justin Bieber),Billie Eilish,19462,03:14,pop dance pop
478QYNLw6dhTTx4oEkhBeq,Freaking Me Out - Keanu Silva Remix,Ava Max,12896,02:57,pop dance pop
3C4fzUgIP3ahkhOBdP38GM,Heaven Can Wait - The Aston Shuffle Remix,Sia,14303,03:38,pop dance pop
2k4c9ZAlIYHyXiJ4i20FO7,When It Comes To You - Benny Benassi & BB Team Remix,Sean Paul,13131,02:24,pop dance pop
79zGYOcAe2VmJsyQiJX31a,Gone - The Wild Remix,Charli XCX,13365,03:13,pop dance pop
6B2NRQjtSOtqi67d72r5cx,American Boy - Brooks Remix,Estelle,13131,03:20,pop dance pop
08rBIlTMXlF5uEHobZglxv,Million Pieces - M-22 Remix,Bastille,12427,02:46,pop dance pop
1BmdqDrBU5eohtRwHBls6C,joy. (R3HAB Remix),for KING & COUNTRY,13131,02:51,pop dance pop
5rxKInBVj0QE87KenyDiLf,Crash Into Me - Settle Down Steavis Aoki Remix,Steve Aoki,7972,04:26,pop dance pop
3kgKVcBpBGuSeaEC0AZGlb,Old Town Road - Diplo Remix,Lil Nas X,17352,03:24,pop dance pop
5qCrT9lVmIGxqB8i6bb83P,Lovers + Strangers - GATTÜSO Remix,Starley,10786,03:23,pop dance pop
3Lv3frZVXU7Q0JEFvLIzWW,Promises (with Sam Smith) - David Guetta Remix,Calvin Harris,14772,03:10,pop dance pop
2bZYJvVRN5EqIvAUFhUNls,Flames (with ZAYN) - R3HAB & Skytech VIP Remix,R3HAB,12896,03:57,pop dance pop
3utdq3dPLVD4r7Vv9BnCAI,What Am I - SONDR Remix,Why Don't We,12193,03:00,pop dance pop
1ppOGANOzMT01Cxh9jx4hN,Cool Kids,Olympis,15710,02:19,pop dance pop
5Shjuje8PRcX7ueEVajrLH,Loco Contigo (with J. Balvin & Tyga) - Cedric Gervais Remix,DJ Snake,14772,04:39,pop dance pop
6wKJjrWWP4qpzYbE8oQkc4,All Star - Breathe Carolina Remix,Smash Mouth,14069,03:37,pop dance pop
6EDH26ppl7R8oV4tGilCkS,Trampoline - Dave Audé Remix,SHAED,10552,03:50,pop dance pop
4RaN7556EogBfF80klMEX2,Stay (Don't Go Away) [feat. Raye] - Mark Knight Remix,David Guetta,13600,03:08,pop dance pop
1nwoWaqzB30bD4IPqRNuex,With You - Dexter Remix,Kaskade,11958,03:16,pop dance pop
4fDBElPGDqZQ3rJorZTm2w,Safety (feat. DJ Snake) - Dark Heart 2am Mix,GASHI,13600,03:30,pop dance pop
6AZ21kPj2a0INgf3uCviVu,Beautiful (feat. Camila Cabello) - Bazzi vs. EDX's Ibiza Sunrise Remix,Bazzi vs.,13131,03:07,pop dance pop
3uXHSf9sSIpOJWuC1H8DiU,Talk - Disclosure VIP,Khalid,14069,04:33,pop dance pop
4Q9iBGT9b9CVTtDwsgQWnl,Spicy - Majestic Remix,Herve Pagez,11255,04:15,pop dance pop
6LCsZ8ARrIq0n9nr6gM2ru,Don't Leave Me Lonely (feat. Yebba) - Claptone Remix,Mark Ronson,13131,03:36,pop dance pop
27F9FlipD657qYRQT3qxFm,Treehouse - R3HAB Remix,James Arthur,13131,03:12,pop dance pop
6B9cqNooxIyPfr3P5EB8LA,Hearts Ain't Gonna Lie - Eden Prince Remix,Arlissa,15241,03:58,pop dance pop
05CwHjIk71RXVU40boRMnR,Call You Mine,The Chainsmokers,9145,03:37,pop dance pop
0qc4QlcCxVTGyShurEv1UU,Post Malone (feat. RANI),Sam Feldt,19462,02:54,pop dance pop
5icOoE6VgqFKohjWWNp0Ac,Here With Me,Marshmello,19462,02:36,pop dance pop
6GIRtKNXokeu25nn7U6Hu8,Easier - Seeb Remix,5 Seconds of Summer,16648,02:45,pop dance pop
4PkIDTPGedm0enzdvilLNd,Sixteen,Ellie Goulding,18993,03:21,pop dance pop
5PYQUBXc7NYeI1obMKSJK0,Never Really Over,Katy Perry,19931,03:43,pop dance pop
4Gcv5SsxnQWpmOnUI19EJk,All You Need To Know (feat. Calle Lehmann),Gryffin,17821,03:58,pop dance pop
5YkmS18BehACOhIIeUqe6l,I Miss Myself (with HRVY),NOTD,16648,03:11,pop dance pop
3vQhEd4lOg4mAV6CHCgoHW,South of the Border (feat. Camila Cabello & Cardi B) - Sam Feldt Remix,Ed Sheeran,15241,02:53,pop dance pop
6wo37KVqFJhtuxPTpLCcfe,Takeaway (feat. Lennon Stella),The Chainsmokers,15710,03:29,pop dance pop
3OTSBoYKO7HzGVj8Bu2OH9,All the Time,Zara Larsson,17352,03:48,pop dance pop
4NSW0Km5ZG60L8FthUebPJ,What I Like About You (feat. Theresa Rex),Jonas Blue,18993,03:40,pop dance pop
1xK7enJZVdv37fnnxoZlPq,With You,Kaskade,16648,03:00,pop dance pop
1z1XegUChLLQfcbtIK8ABn,Body Back (feat. Maia Wright),Gryffin,17586,03:34,pop dance pop
6aoGtdWXBkYQ2O2wnyIz2x,Not Ok,Kygo,17117,03:30,pop dance pop
5tAa8Uaqr4VvA3693mbIhU,Ruin My Life,Zara Larsson,18524,03:10,pop dance pop
18W92Zm1KjLCbUIszOhpkD,I Wanna Know (feat. Bea Miller),NOTD,17352,03:17,pop dance pop
3D37T7euWvVJ45evRmriIh,Better With You,3LAU,14772,03:12,pop dance pop
3y3brCCecHC3Db18aIOnny,"Carry On (from the Original Motion Picture ""POKÉMON Detective Pikachu"")",Kygo,18524,03:35,pop dance pop
6XqvFyJGdUD5IWee02ARKU,Polaroid,Jonas Blue,3751,03:13,pop dance pop
575NJxNUVDqwJGdzBrlLbv,Lost In Japan - Remix,Shawn Mendes,17586,03:21,pop dance pop
70YPzqSEwJvAIQ6nMs1cjY,In Your Arms (with X Ambassadors),ILLENIUM,17586,03:40,pop dance pop
7Ht0v0LWBCOEjmNQ0iMpNr,I'm Not Alright,Loud Luxury,12896,03:05,pop dance pop
6nDKrPlXdpomGBgAlO7UdP,SOS,Avicii,7034,02:37,pop dance pop
2b1BwUGGyKq0CoJd8G1B6M,Harder,Jax Jones,14538,02:39,pop dance pop
09IStsImFySgyp0pIQdqAc,The Middle,Zedd,19697,03:04,pop dance pop
1lGVyEkGHUz7Pg78QGaS4a,Wanted,NOTD,16414,02:40,pop dance pop
6ksMjdec8b6C45TUawkAdu,Crash Into Me,Steve Aoki,8676,03:46,pop dance pop
1vsQb8n0icvMsFnL9663LM,Need Your Love (with Noah Kahan),Gryffin,16414,03:25,pop dance pop
6pooRNiLyYpxZeIA5kJ5EX,Good Things Fall Apart (with Jon Bellion),ILLENIUM,17352,03:36,pop dance pop
5WHTFyqSii0lmT9R21abT8,Don't Call Me Up,Mabel,19931,02:58,pop dance pop
1pBO9JDqh1y3TbCKEO1OvG,Nostalgic,A R I Z O N A,8441,03:02,pop dance pop
1LjxmkW3xRQP2HzswhYyyc,Let It Be Me,Steve Aoki,12193,03:44,pop dance pop
