song_name,artist,genre,audio_filenames,duration,date_created
Abstract Future Bass,,cinematic,abstract-future-bass.mp3,01:31,2024-05-01
Too Hot,Aylex,cinematic,Aylex - Too Hot (freetouse.com).mp3,03:11,2024-05-18
Cinematic Dramatic,-,cinematic,cinematic-dramatic-11120.mp3,01:31,2024-05-01
Dark Mystery Trailer Taking Our Time,-,cinematic,dark-mystery-trailer-taking-our-time-131566.mp3,00:48,2024-05-01
Epic Music Short Background Music,-,cinematic,epic-music-short-background-music-for-video-vlogs-promo-1-minute-194801.mp3,00:55,2024-05-01
Epic Opener,-,cinematic,epic-opener-115681.mp3,01:00,2024-05-01
Heroes Among Us Cinematic Orchestral Background Music,-,cinematic,heroes-among-us-cinematic-orchestral-background-music-for-video-60sec.mp3,00:54,2024-05-01
Inspiring Trailer,-,cinematic,inspiring-trailer-1-min-203617.mp3,00:50,2024-05-01
Risk,-,cinematic,risk-136788.mp3,01:12,2024-05-01
The King,-,cinematic,the-king_30sec-176769.mp3,00:30,2024-05-01
War Metal Trailer,-,cinematic,war-metal-trailer-medium2-160415.mp3,00:57,2024-05-01
Living,Aylex,electronic,Aylex - Living (freetouse.com).mp3,02:25,2024-05-18
Okay Energy,Aylex,electronic,Aylex - Okay Energy (freetouse.com).mp3,02:12,2024-05-18
Chaos,Damtaro,electronic,Damtaro - Chaos (freetouse.com).mp3,03:07,2024-05-18
Endless,Damtaro,electronic,Damtaro - Endless (freetouse.com).mp3,03:35,2024-05-18
Nothing,Damtaro,electronic,Damtaro - Nothing (freetouse.com).mp3,03:18,2024-05-18
Echoes,Walen,electronic,walen - Echoes (freetouse.com).mp3,02:49,2024-05-18
Baby Type Beat ,-,hiphop,baby_type_beat-182467.mp3,01:04,2024-05-01
Beatbox ,-,hiphop,beatbox-163406.mp3,00:30,2024-05-01
Childs Play Trap ,-,hiphop,child39s-play-trap-9660.mp3,00:54,2024-05-01
Drive To Triumph,-,hiphop,drive-to-triumph.mp3,01:32,2024-05-01
For Food ,-,hiphop,for-food-99185.mp3,01:25,2024-05-01
Hip Hop Urban ,-,hiphop,hip-hop-urban-20635.mp3,00:52,2024-05-01
Pop Up Phonk Energy ,-,hiphop,pop-up-phonk-energy-197025.mp3,01:19,2024-05-01
Rise Above ,-,hiphop,rise-above-178316.mp3,01:22,2024-05-01
The Nutcracker Electro House Version Dance Of The Sugar Plum Fairy ,-,hiphop,the-nutcracker-electro-house-version-dance-of-the-sugar-plum-fairy-173835.mp3,00:47,2024-05-01
Wild Flow ,-,hiphop,wild-flow-203556.mp3,01:14,2024-05-01
Children Folk ,-,indie,children-folk_v3_60sec-178296.mp3,01:00,2024-05-01
French Gypsy Mood ,-,indie,french-gypsy-mood-146458.mp3,01:33,2024-05-01
My Favourite Cartoon ,-,indie,my-favourite-cartoon-166722.mp3,00:37,2024-05-01
Old Country Joy Loop ,-,indie,old-country-joy-loop-201614.mp3,01:34,2024-05-01
Rhythm Of Life ,-,indie,rhythm-of-life-201832.mp3,00:32,2024-05-01
Rhythm Of Life Folk Music ,-,indie,rhythm-of-life-folk-music-201991.mp3,00:32,2024-05-01
Slow Food  ,-,indie,slow-food-75-205034.mp3,01:06,2024-05-01
The Accordionist ,-,indie,the-accordionist-203635.mp3,01:22,2024-05-01
Village Courtyard Stroll,-,indie,village-courtyard-stroll-205351.mp3,00:49,2024-05-01
A Jazz Piano,-,jazz,a-jazz-piano-110481.mp3,01:17,2024-05-01
Funky,-,jazz,funky_49sec-187355.mp3,00:49,2024-05-01
Gimme Gimme Jazz,-,jazz,gimme-gimme-jazz-179073.mp3,01:25,2024-05-01
Happy Santa,-,jazz,happy-santa_60sec-175537.mp3,00:58,2024-05-01
Jazz De Elevador,-,jazz,jazz-de-elevador-2-157370.mp3,01:16,2024-05-01
Jazzy Band,-,jazz,jazzy-band-142058.mp3,01:23,2024-05-01
Jazzy Lounge Café,-,jazz,jazzy-lounge-cafe-30-sec-edit-201348.mp3,00:30,2024-05-01
Magic In You Jazz,-,jazz,magic-in-you-jazz-167902.mp3,00:35,2024-05-01
Start Slowly,-,jazz,start-slowly-166052.mp3,00:50,2024-05-01
Tema Jazzistico Feliz,-,jazz,tema-jazzistico-feliz-150807.mp3,00:55,2024-05-01
Dance Gabino Latin Slap House Background Music,-,latin,dance-gabino-latin-slap-house-background-music-for-video-1-minute-198417.mp3,00:56,2024-05-01
Folk Dance,-,latin,folk-dance-112078.mp3,01:08,2024-05-01
Funny Background Tango Hip Hop Music,-,latin,funny-background-tango-hip-hop-music-for-vlog-video-1-minute-151674.mp3,01:04,2024-05-01
Happy Birthday To You Tango Version,-,latin,happy-birthday-to-you-tango-version-arranged-for-strings-182926.mp3,01:07,2024-05-01
Irish,-,latin,irish-153193.mp3,01:17,2024-05-01
Italian Tarantella,-,latin,italian-tarantella-163385.mp3,01:10,2024-05-01
Latin Tango,-,latin,latin-tango-188841.mp3,00:57,2024-05-01
Nelly Julio Salvador Sagreras,-,latin,nelly-julio-salvador-sagreras-1879-1942-arranged-for-strings-189991.mp3,00:56,2024-05-01
Samba,-,latin,samba-180403.mp3,01:12,2024-05-01
Tango Adios Muchachos Sanders ,-,latin,tango-adios-muchachos-sanders-arranged-for-strings-187680.mp3,01:17,2024-05-01
Calming Cadence,-,lofi,calming-cadence-199593.mp3,01:15,2024-05-01
Christmas Chill Lofi,-,lofi,christmas-chill-lofi-launge-ig-version-60s-9466.mp3,01:01,2024-05-01
Dark,-,lofi,dark-197700.mp3,01:15,2024-05-01
Lofi Chill,-,lofi,lofi-chill-medium-version-159456.mp3,01:07,2024-05-01
Lofi Night Dreaming,-,lofi,lofi-night-dreaming-version-60s-9683.mp3,00:56,2024-05-01
Lofi Relax Song For Summer Vibes,-,lofi,lofi-relax-song-for-summer-vibes-156087.mp3,01:15,2024-05-01
Lost Ambient Lofi,-,lofi,lost-ambient-lofi-60s-10821.mp3,00:58,2024-05-01
Rain And Nostalgia,-,lofi,rain-and-nostalgia-version-60s-10820.mp3,01:10,2024-05-01
Remembering Something I Forgot,-,lofi,remembering-something-i-forgot-185239.mp3,01:15,2024-05-01
The Sunset Lofi Beat,-,lofi,the-sunset-lofi-beat-179350.mp3,00:44,2024-05-01
Afro Pop,-,pop,afro-pop.mp3,01:07,2024-05-01
Breeze Groove,-,pop,breeze-groove.mp3,01:36,2024-05-01
Children Electro Swing,-,pop,children-electro-swing-2_v1_60sec.mp3,01:00,2024-05-01
